,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,GLCptspp,PYK,FBA_reverse,PGK_reverse,ENO_reverse,GAPD_reverse,TPI_reverse,PGI_reverse,PGM_reverse,G6PDH2r,PGL,GND,RPE,RPI,TKT1,TKT2,TALA,G6PDH2r_reverse,RPE_reverse,RPI_reverse,TKT1_reverse,TKT2_reverse,TALA_reverse,EDA,EDD,PDH,CS,ACONTa,ACONTb,ICDHyr,AKGDH,SUCOAS,SUCDi,FUM,MDH,ACONTa_reverse,ACONTb_reverse,ICDHyr_reverse,SUCOAS_reverse,FUM_reverse,MDH_reverse,FBP,PPCK,ME1,ME2,PPC,CHORS,DHQS,DHQTi,DHAD1,IPMD,IPPS,PSERT,PSP_L,SERAT,SERAT_reverse,DAPDC,DAPE,DHDPS,DHDPRy,ACCOAC,ACACT1r,ACACT2r,ACACT3r,ACACT4r,ACACT5r,ACACT6r,ACACT7r,ACACT8r,ACACT1r_reverse,ACACT2r_reverse,ACACT3r_reverse,ACACT4r_reverse,ACACT5r_reverse,ACACT6r_reverse,ACACT7r_reverse,ACACT8r_reverse,ECOAH1,ECOAH2,ECOAH3,ECOAH4,ECOAH5,ECOAH6,ECOAH7,ECOAH8,ECOAH1_reverse,ECOAH2_reverse,ECOAH3_reverse,ECOAH4_reverse,ECOAH5_reverse,ECOAH6_reverse,ECOAH7_reverse,ECOAH8_reverse,HACD1,HACD2,HACD3,HACD4,HACD5,HACD6,HACD7,HACD8,HACD1_reverse,HACD2_reverse,HACD3_reverse,HACD4_reverse,HACD5_reverse,HACD6_reverse,HACD7_reverse,HACD8_reverse,ACKr,ACKr_reverse,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CYSTL,GHMT2r,GHMT2r_reverse,GLNS,GLUPRT,ICL,MALS,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PPS,PRAIS,PTAr,PTAr_reverse,THRS
wildtype,0.9011592052150132,-0.1358046901324103,-0.13580469013241084,-0.3175676874859251,-0.13144005790816335,0.0,0.0,-0.005763712653848439,3.203426503814917e-16,15.672581293676908,0.0,-0.13144005790816352,0.0,0.0,0.0,0.0,-0.005789663660559591,-18.532101364143312,-18.532101364143312,-18.20087538106439,-17.235473588580643,0.0,-16.434951390730042,-16.00394219060195,-16.434951390730042,0.0,18.369994906764624,1.2179833742432404,17.269116743469347,17.464285943927973,17.269116743469347,-16.24679548400291,-16.24679548400291,-19.772991225231088,2.1002770500661914,2.095558955354307,2.095558955354307,2.275653955582998,3.6682016153124373,0.0,3.247246630698942,2.1154989843530774,1.3100884669594421,0.0,0.0,0.0,18.492734247974187,0.0,0.0,0.0,-14.4807137130674,0.0,-14.4394869426967,-0.0855250178512389,-1.0090793487017027e-14,-1.1372164088543004e-14,-1.1372164088543004e-14,3.203426503814917e-16,0.0,-3.203426503814918e-16,-1.248359415108828,-1.248359415108828,9.61027951144475e-16,0.0,-8.008566259537297e-16,0.0,6.406853007629834e-16,6.406853007629834e-16,3.247691639616905,-1.2813706015259676e-15,-1.2813706015259676e-15,-6.406853007629836e-16,-1.2312769302867228,-1.2312769302867228,-0.8752804506863757,-0.8752804506863748,3.5279336086470553e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2813706015259676e-15,-1.2813706015259676e-15,-6.406853007629836e-16,-1.2312769302867228,-1.2312769302867228,-0.8752804506863757,-0.8752804506863757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.011120079908973e-12,-1.2813706015259676e-15,-6.406853007629836e-16,-6.406853007629836e-16,-1.2312769302867228,-1.2312769302867228,-0.8752804506863757,-0.8752804506863757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.811419977728082,0.0,-0.7889922029558183,0.0,0.0,0.1569955359877674,1.6017132519074577e-15,-1.8157466290571735,0.0,-6.5670243328205966e-15,-1.3934905291594958e-14,-13.639969496019916,-13.644498785145327,-9.337988258620786e-14,-2.1250136621952582,0.0,-2.1250136621952582,0.0,-9.337988258620786e-14,0.0,-1.2813706015259728e-14,-18.811419977728082,0.0,0.6946051097148919
AlsR,-19.17226259193999,-18.948065402450858,-18.948065402450858,-0.5751926438016159,-0.2391151410631018,0.0,0.0,-0.25469037468078176,-0.8131568451699838,0.0,0.0,-0.23911514106310197,0.0,0.0,0.0,0.0,-0.25469037468078176,1.0675912818880515,1.0675912818880515,0.3883518220750116,0.6080525733598812,0.0,0.47555916571890644,0.8457985246455203,-15.300550530351618,0.0,0.0,0.23094354135478162,0.0,0.0,0.0,1.95930994444409,1.9593099444440896,0.0,-2.2825901549860004,-2.2825901549860004,-2.282590154986001,-2.2825901549860004,-17.775955033672634,0.0,-17.88717043768145,-2.3177119094522998,-1.4942929792933917,0.0,0.0,0.0,-17.581194594861067,0.0,0.0,0.0,-15.270502444528079,0.0,-16.03579713510097,-1.008970831312968,2.2423985526704407e-15,2.2423985526704407e-15,2.2423985526704407e-15,0.0,0.0,0.0,-0.046101092250391267,-0.046101092250391267,-1.1211992763352217e-15,0.0,0.0,0.0,6.406853007629834e-16,6.406853007629834e-16,-3.3635978290056677e-15,-6.406853007629836e-16,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-1.4415419267167136e-15,-1.4415419267167136e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-1.4415419267167136e-15,-1.4415419267167136e-15,-6.406853007629836e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.203426503814918e-16,0.0,-0.788990267127628,0.0,0.0,1.729850312060045e-14,1.6017132519074577e-15,-0.07038283648995636,0.0,3.555803419234515e-14,6.983469778316352e-14,0.0,0.0,-1.6017132519074597e-15,6.31075021251525e-14,0.0,6.374818742591545e-14,0.0,-1.6017132519074597e-15,0.0,7.015504043354499e-14,3.203426503814917e-16,0.0,0.0
AppY,-0.5730950553630092,-0.24613233212880645,-0.2461323321288074,0.006324892626080443,0.002944223476886401,0.0,0.0,0.0031743381708610333,0.21577746918990462,-0.49461957185294275,0.0,0.0029442234768860816,0.0,0.0,0.0,0.0,0.0031743381708607137,6.067157591719992,6.067157591719989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.381355933053339,1.8917480016295398,-13.406049289785651,-14.958037817649036,-13.406049289785651,-16.778720980721413,-16.778720980721413,-19.858392955813198,-0.6562688397857473,-0.6562688397857473,-0.6562688397857481,-0.6562688397857476,-0.8758983576809402,0.0,2.629009006088559,-0.6612292139621221,-0.6059891603215355,0.0,0.0,0.0,-1.049764863350934,0.0,0.0,0.0,-13.575683971995725,0.0,-13.456908364394927,-0.19418995637006725,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15,4.484797105340878e-15,-4.805139755722377e-16,6.406853007629834e-16,-9.241885463506334e-14,-9.209851198468182e-14,1.377473396640408e-14,0.0,0.0,0.0,0.0,6.406853007629834e-16,6.727195658011312e-15,-2.2423985526704442e-15,-2.2423985526704442e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2423985526704442e-15,-2.2423985526704442e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2423985526704442e-15,-2.2423985526704442e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,0.0,6.406853007629834e-16,0.0,0.0,-7.367880958774498e-14,1.9220559022889496e-15,-1.4527539194801382e-13,0.0,-1.21730207144972e-13,-2.4618332681819743e-13,0.0,7.633765358588929e-13,3.2034265038149143e-15,-2.2087625743805547e-13,0.0,-2.2071608611286472e-13,0.0,1.6017132519074577e-15,0.0,-2.4618332681819743e-13,-3.203426503814918e-16,0.0,-4.805139755722377e-16
ArcA,2.369972602019966,0.2616509566315588,0.2616509566315588,0.4371021047822982,0.19231931187172682,0.0,0.0,0.21356538376341222,3.203426503814917e-16,2.233769885039002,0.0,0.19231931187172682,0.0,0.0,0.0,0.0,0.21354197315058573,-1.443496075113063,-1.4434960751130634,-1.366036696681796,-1.6736524966443995,0.0,-1.5055043304930953,-1.8901213788334394,-17.529505764003098,0.0,0.0,-1.021933558339677,0.0,0.0,0.0,-15.016128503476232,-15.016128503476237,-19.326690105185666,0.9357051392921765,0.8564846264078785,0.8564846264078781,0.8564846264078784,1.2173226074850574,0.0,1.0760680508653793,0.8640988679009534,0.9456623024326241,0.0,0.0,0.0,1.5460077511810657,0.0,0.0,0.0,-13.295908896232286,0.0,-13.016259111854415,-0.15109652847252106,-8.008566259537297e-16,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.1211992763352217e-15,3.203426503814917e-16,3.203426503814917e-16,-0.047623030471312625,-0.047623030471312625,-3.203426503814921e-15,0.0,0.0,0.0,0.0,6.406853007629834e-16,-3.203426503814921e-15,-2.2423985526704442e-15,-2.2423985526704442e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08213729566222137,0.0,0.0,4.484797105340878e-15,0.0,2.11426149251783e-14,-3.5237691541964136e-15,-0.07399345173642646,0.0,2.59477546809006e-14,5.349722261370814e-14,0.0,-5.265436896045722,-1.6017132519074597e-15,-0.17242439103132315,0.0,-0.17242439103132295,0.0,0.0,0.0,5.413790791447109e-14,-0.08213729566222137,0.0,0.0
ArcB,-0.682785466613016,-0.3908678923286778,-0.3908678923286784,-0.15932309287488527,-0.07686937839494014,0.0,0.0,-0.08308068835446722,3.203426503814917e-16,-0.3124734379258704,0.0,-0.07686937839494014,0.0,0.0,0.0,0.0,-0.08308068835446722,3.2496840240473177,3.2496840240473173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.407350538003032,1.7658667711205087,-13.432042124956759,-14.98403221677188,-13.432042124956759,-14.930176358641535,-14.930176358641535,-0.07558857361460584,-0.7368522511222353,-0.7368522511222353,-0.7368522511222353,-0.7368522511222353,0.0,-14.843192848142657,-1.0848331445250061,-0.7439651401902647,-0.6169314486786261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.958315582978589,0.0,-14.345236963142137,-0.5943256032181758,0.0,0.0,0.0,6.406853007629834e-16,3.203426503814917e-16,3.203426503814917e-16,-0.0010294751157969033,-0.0010294751157972238,1.2813706015259665e-15,0.0,0.0,0.0,0.0,6.406853007629834e-16,-6.406853007629849e-15,-2.8830838534334283e-15,-2.8830838534334283e-15,-1.4415419267167136e-15,-2.082227227479698e-15,-1.4415419267167136e-15,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8830838534334283e-15,-2.8830838534334283e-15,-2.082227227479698e-15,-1.4415419267167136e-15,-8.008566259537297e-16,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8830838534334283e-15,-2.8830838534334283e-15,-2.082227227479698e-15,-1.4415419267167136e-15,-8.008566259537297e-16,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.203426503814918e-16,0.0,3.203426503814917e-16,4.484797105340878e-15,0.0,1.156436967877139e-13,-1.922055902288952e-15,-0.001585384144519998,0.0,-2.5169546796695412,3.549396566226492e-13,0.0,1.1253637307897417e-12,-6.7271956580113425e-15,-0.003574660197549442,0.0,-0.0035746601975497633,0.0,-3.5237691541964136e-15,0.0,3.549396566226492e-13,-3.203426503814918e-16,0.0,0.0
ArgR,-18.474610248089277,-1.579069566407937,-1.5790695664079357,-1.6199486189714485,-0.5570794352804829,0.0,0.0,-0.5961745289832268,-19.38995267347144,2.1549459163603544,0.0,-0.5570794352804831,0.0,0.0,0.0,0.0,-0.5961745289832268,-1.7506268042368307,-1.7506268042368314,1.0167624282325747,1.2377489729446502,0.0,1.1177656885665856,1.388798405651397,1.1177656885665859,0.0,0.0,0.7631386488987051,0.0,0.0,0.0,1.543977094601262,1.543977094601262,-18.983710547079248,-1.247620985083667,-1.247620985083667,-1.2476209850836673,-4.004283129768652e-15,0.0,0.0,0.0,0.0009257881002678655,-0.8679259048429936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.316114222322037,0.0,-14.81368452491284,-0.445211209775983,1.6017132519074577e-15,2.5627412030519317e-15,2.5627412030519317e-15,-5.44582505648537e-15,0.0,6.406853007629834e-16,-0.16622582792701093,-0.16622582792701093,-2.2904499502276845e-14,0.0,0.0,0.0,0.0,0.0,-0.6407004847846711,-2.7229125282426824e-15,-3.6839404793871596e-15,-1.7618845770982058e-15,-1.7618845770982058e-15,-1.7618845770982058e-15,-2.2423985526704442e-15,12.51960873523381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6839404793871596e-15,-3.6839404793871596e-15,-2.7229125282426824e-15,-1.7618845770982058e-15,-1.7618845770982058e-15,0.0,12.519608735232607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5034273959014387e-12,-3.6839404793871596e-15,-3.6839404793871596e-15,-1.7618845770982058e-15,-1.7618845770982058e-15,-1.7618845770982058e-15,-1.2813706015259676e-15,12.519608735232607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.406853007629834e-16,0.0,-0.7889869004930937,0.0,0.0,-4.4687799728218796e-14,1.9220559022889496e-15,-0.25277231873409367,0.0,-2.537316597332321,-1.4543556327320458e-13,-16.05289306000386,-16.052893060003864,-2.226381420151385e-14,-0.5478862542670837,0.0,-0.5478862542670835,0.0,-2.226381420151385e-14,0.0,-1.4543556327320458e-13,6.406853007629834e-16,0.0,0.0
AscG,-2.436249119981287,-19.008187622770116,-19.008187622770116,-0.0823165142407791,-0.03587219378987819,0.0,0.0,-0.03895615598638048,-0.1838389393840292,0.4633358184799542,0.0,-0.03587219378987852,0.0,0.0,0.0,0.0,-0.03893253320353049,1.2127395024324013,1.212739502432401,2.1471653653084695,2.965921199424072,0.0,2.4824577932139977,3.8303220885379314,-14.917628791638558,0.0,0.0,1.467637521563176,0.0,0.0,0.0,-16.788325282176043,-16.788325281697432,1.2005662466803493,-1.8041955935291811,-1.8041955935291811,-1.8041955935291814,-1.8041955935291814,0.0,6.406853007629834e-16,-11.929299338777923,-1.8357836263652578,-1.837108146660837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.461306445446658,0.0,0.0,-0.3649691765248308,6.406853007629834e-16,0.0,0.0,0.0,0.0,0.0,7.592120814041155e-14,7.592120814041155e-14,-2.082227227479698e-15,0.0,0.0,0.0,0.0,0.0,3.523769154196405e-15,-1.4415419267167136e-15,-2.40256987786119e-15,-6.406853007629836e-16,-6.406853007629836e-16,0.0,9.61027951144475e-16,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-6.406853007629836e-16,-1.4415419267167136e-15,-6.406853007629836e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-6.406853007629836e-16,-6.406853007629836e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7945858788240974,0.0,0.0,6.374818742591545e-14,0.0,1.1756575269000268e-13,0.0,9.674348041520726e-14,1.950886740823153e-13,0.0,0.0,1.9220559022889496e-15,1.7650880036019117e-13,0.0,1.7875119891286133e-13,0.0,1.9220559022889496e-15,0.0,1.950886740823153e-13,3.203426503814917e-16,0.0,6.406853007629834e-16
BasR,-0.631870326296992,-0.15918569067620536,-0.15918569067620394,-0.16139673563944346,-0.07290670525585348,0.0,0.0,-0.07116487160097673,-2.8830838534334283e-15,-0.020767463282402865,0.0,-0.07290670525585348,0.0,0.0,0.0,0.0,-0.07118862504597975,1.6395447927788105,1.63954479277881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.300437887705906,1.6147704050205736,-13.325136962159096,-14.877120437279373,-13.325136962159096,-0.3078299756399662,-0.30782997563996645,-0.02674333640980029,-0.0785221253483693,-0.07852212534836542,-0.07852212534836558,-0.07852212534836558,-0.1313051685255742,0.0,0.15186233879218466,-0.07984056885264834,0.570451806965075,0.0,0.0,0.0,-0.19549417842908132,0.0,0.0,0.0,-14.467317213064474,0.0,-15.647406209513468,-0.5661851453166644,9.61027951144475e-16,1.2813706015259665e-15,1.2813706015259665e-15,3.2034265038149143e-15,0.0,0.0,-0.0937240652463399,-0.09372406524634025,8.969594210681742e-15,0.0,-9.610279511444756e-16,-8.008566259537297e-16,-8.008566259537297e-16,-8.008566259537297e-16,-1.4002238464572725,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,0.0,0.0,0.886217692288123,-1.4328926751571244e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,0.0,0.0,0.0,0.886217692288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,0.0,0.0,0.886217692288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2813706015259665e-15,0.0,0.0,-4.805139755722384e-15,0.0,-0.00033159912915460966,1.6017132519074577e-15,-0.14437615102371457,0.0,-4.0523345273259276e-14,-8.296874644880875e-14,0.0,0.0,0.0,-0.17242413722523317,0.0,-0.17242413722523262,0.0,0.0,0.0,-8.344926042438102e-14,1.2813706015259665e-15,0.0,6.406853007629834e-16
BolA,-0.18992775006132176,-19.080532779371318,-19.080532779371318,-0.18716914412631633,-0.08506035696119844,0.0,0.0,0.23531168009915565,0.0,-2.217729252267114,0.0,-0.08506035696119844,0.0,0.0,0.0,0.0,0.2352872747747315,0.0,0.0,1.268126068755336,-1.2813706015259728e-14,0.0,-1.2813706015259728e-14,0.0,0.0,0.0,0.0,1.5158115990862688,0.0,0.0,0.0,-15.886952999556144,-15.886952999556144,-0.44596161883726265,2.315741972881522,2.3157419728815225,2.315741972881522,2.315741972881522,0.0,0.0,3.682897145081053,2.3510676150510035,1.8834315500690026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.886952999556144,-0.47118692606348167,2.2423985526704407e-15,2.2423985526704407e-15,2.2423985526704407e-15,-1.922055902288952e-15,0.0,0.0,-1.8364312300214967,-1.8364312300214969,-1.1051821438161509e-14,0.0,0.0,0.0,0.0,0.0,0.7925156775650068,-1.4415419267167136e-15,-1.4415419267167136e-15,-6.406853007629836e-16,-6.406853007629836e-16,0.0,9.61027951144475e-16,-12.961030716600494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,0.0,9.61027951144475e-16,-12.961030716600494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-6.406853007629836e-16,-6.406853007629836e-16,0.0,9.61027951144475e-16,-12.961030716600494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.406853007629834e-16,0.0,-0.7889899018781181,0.0,0.0,6.278715947477103e-14,0.0,-2.3311260496982626,0.0,9.546210981368138e-14,1.931666181800266e-13,0.0,0.0,1.60171325190745e-14,-3.1648778530211046,0.0,-3.1648778530211046,0.0,1.60171325190745e-14,0.0,1.931666181800266e-13,6.406853007629834e-16,0.0,0.0
ChpB,-0.3471547446253691,-0.489236174076585,-0.489236174076585,-0.1375546510145529,-0.05917321768687796,0.0,0.0,-0.06014423845178272,3.203426503814917e-16,-0.5575693722060151,0.0,-0.059173217686878624,0.0,0.0,0.0,0.0,-0.06016936702563363,0.2965884349929322,0.29658843499293197,0.22724876428766733,0.2832262654288759,0.0,0.2526351879668706,0.3222769093378802,-16.334184776579406,0.0,0.0,0.1653178052066506,0.0,0.0,0.0,0.6000192005320083,0.6000192005320085,-0.06245163446897367,-0.30580706764722143,-0.30580706764722143,-0.3058070676472216,6.0865103572483304e-15,0.0,0.0,-9.731405528408468,-0.31432959179030495,-0.3932288484625371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.34709628385418,0.0,-13.181602723640262,-0.1552190437554688,0.0,0.0,0.0,-9.610279511444756e-16,0.0,0.0,-0.04762298117271617,-0.047622981172716336,-7.047538308392836e-15,0.0,0.0,0.0,0.0,0.0,-3.844111804577906e-15,-1.6017132519074597e-15,-1.6017132519074597e-15,-1.6017132519074597e-15,0.0,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6017132519074597e-15,-1.6017132519074597e-15,-1.6017132519074597e-15,-9.610279511444756e-16,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6017132519074597e-15,-1.6017132519074597e-15,-1.6017132519074597e-15,-9.610279511444756e-16,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4619295467825038,-4.965311080913131e-15,0.0,-2.2103642876323103e-14,0.0,-0.07399333271018761,0.0,-3.651906214349052e-14,-7.640172211598781e-14,-13.660472379220812,-13.66426891354858,-1.7618845770982058e-15,-0.17242406755295114,0.0,-0.17242406755295114,0.0,-1.7618845770982058e-15,0.0,-7.560086549003404e-14,3.203426503814917e-16,0.0,0.0
CpxR,-0.1286145423496996,-0.6238241883366573,-0.6238241883366573,-0.6342380410569062,-0.2496945410928485,0.0,0.0,-0.2666672894522511,0.0,-17.538809012147297,0.0,-0.2496945410928485,0.0,0.0,0.0,0.0,-0.26669359623974015,0.1672081598790507,0.1672081598790507,-17.913387114494746,-16.904473932774387,0.0,-16.128354905778007,-15.639381236426372,-16.128354905778007,0.0,0.0,-1.6181482067848898,0.0,0.0,0.0,2.2663113577789815,2.2663113577789815,-17.199280009194638,0.7021918571312795,0.702191857131279,0.7021918571312786,0.702191857131279,1.065930837187107,0.0,1.214984465085534,0.7094028853122509,-16.914733392780484,0.0,0.0,0.0,1.4421932864738523,0.0,0.0,0.0,-14.569966090277372,0.0,-13.390498599319997,-0.2858217084884124,-6.406853007629836e-16,0.0,0.0,8.328908909918762e-15,0.0,0.0,-0.04762301184742121,-0.04762301184742121,2.9151181184715457e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-8.008566259537297e-16,0.0,0.0,-1.4328926751571244e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7516336122870603e-12,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,0.0,6.406853007629834e-16,-4.4847971053408916e-15,0.0,-2.0662100949606367e-14,3.523769154196405e-15,-0.07399340677097482,0.0,-3.651906214349052e-14,-7.39991522381265e-14,0.0,-5.21435798075105,0.0,-0.17242426882834344,0.0,-0.17242426882834344,0.0,1.6017132519074577e-15,0.0,-7.39991522381265e-14,-6.406853007629836e-16,0.0,0.0
Cra,-0.7139994649627783,0.30535726801817115,0.305357268018174,-0.07545470817939379,-0.03531686458450284,0.0,0.0,-0.037788128439156354,-3.203426503814918e-16,0.0,0.0,-0.035316864584503165,0.0,0.0,0.0,0.0,-0.03778812843915652,1.917513699011468,1.9175136990114674,4.9880123798410585,0.0,0.0,0.0,0.0,0.0,0.0,-15.054328941968741,1.9152586851647606,-12.71360525748675,-14.737114559656657,-12.71360525748675,-16.416901563372587,-16.416901563372587,-1.090614650668099,-0.6320182116360411,-0.6320182116360411,-0.6320182116360413,-1.8407959145695676,4.8051397557223685e-15,0.0,-0.8927672509684793,-0.6361021745662284,0.24885179817644362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.6962622366546,0.0,-16.19451189020281,-3.147860903016821,0.0,6.406853007629834e-16,6.406853007629834e-16,-4.805139755722377e-16,0.0,0.0,3.2674950338911785e-14,3.2674950338911785e-14,-9.610279511444756e-16,0.0,0.0,0.0,6.406853007629834e-16,6.406853007629834e-16,7.047538308392801e-15,-2.2423985526704442e-15,-2.2423985526704442e-15,-2.2423985526704442e-15,-6.406853007629836e-16,-6.406853007629836e-16,9.61027951144475e-16,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2423985526704442e-15,-2.2423985526704442e-15,-2.2423985526704442e-15,-6.406853007629836e-16,0.0,9.61027951144475e-16,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2423985526704442e-15,-2.2423985526704442e-15,-2.2423985526704442e-15,-6.406853007629836e-16,-6.406853007629836e-16,9.61027951144475e-16,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203426503814917e-16,0.0,-0.7889902671276274,0.0,0.0,4.2285229850356295e-14,0.0,5.990407562133772e-14,0.0,6.983469778316352e-14,1.4127110881823096e-13,2.0677431824042967,2.0665017254661175,3.523769154196405e-15,7.143641103507089e-14,0.0,7.143641103507089e-14,0.0,1.9220559022889496e-15,0.0,1.4127110881823096e-13,6.406853007629834e-16,0.0,0.0
